,id,gene_i,gene_j,type,coef.est,pval
797,797,47,654,interaction,172.824029963677,0.0756641444061725
1045,1045,119,610,interaction,-49.1833405357412,0.0756717554417315
614,614,660,NA,main,27.1588927183959,0.0756749431476919
528,528,569,NA,main,-11.458272478003,0.0757067801685068
1487,1487,291,589,interaction,-17.3589174874134,0.0757998219824578
23,23,23,NA,main,51.3148583122497,0.0759311365314524
843,843,57,150,interaction,80.5497379245929,0.0760809599317905
435,435,471,NA,main,-29.7885579227026,0.0762734781961121
128,128,137,NA,main,73.0370902424819,0.0762979296652885
729,729,31,42,interaction,12.4698132561972,0.0766488549674843
1131,1131,142,414,interaction,55.702366220486,0.0766552512648512
941,941,88,238,interaction,8.0574774940635,0.0768054479841477
1543,1543,325,448,interaction,-110.406301205562,0.0768269097559191
355,355,383,NA,main,8.506318837628,0.0768675131357037
445,445,481,NA,main,13.0397999920334,0.0770648046226359
238,238,255,NA,main,16.2098453266143,0.0770649044498
2,2,2,NA,main,-44.2453390951403,0.0774113631758511
1127,1127,141,336,interaction,-113.065393534935,0.0775772929974729
1450,1450,270,282,interaction,-15.399343558855,0.0776357913378534
699,699,22,402,interaction,-46.7638907700764,0.0776956225792017
976,976,100,539,interaction,28.9831638023427,0.0780679681414871
473,473,511,NA,main,4.70683350440329,0.0780705008381101
1560,1560,334,523,interaction,-215.581549542385,0.0783515930318851
271,271,293,NA,main,10.4314389283406,0.0784052202440828
902,902,75,353,interaction,-51.749143774781,0.0786986434218569
584,584,628,NA,main,8.3637622866826,0.0787415125089538
326,326,352,NA,main,-29.7042440001397,0.078786766110027
350,350,377,NA,main,19.17605781048,0.0788024444512961
312,312,337,NA,main,-37.3122041309814,0.0789668856300525
631,631,5,209,interaction,-22.0472830884236,0.0790542136051018
1620,1620,363,519,interaction,-17.9146307206956,0.0792542109444664
349,349,375,NA,main,35.7630402111617,0.0795664489821814
1361,1361,224,503,interaction,79.1246882380094,0.0795913577941495
222,222,238,NA,main,-20.7106844571016,0.0796659136070716
48,48,49,NA,main,-9.88291365965248,0.0798404875504097
218,218,234,NA,main,-20.1153970809745,0.0798698726745441
756,756,38,129,interaction,-39.2633815003559,0.0799147690611657
494,494,533,NA,main,-14.6482473927695,0.0799735562379259
735,735,33,309,interaction,-64.9003850087994,0.080418238385279
932,932,85,464,interaction,-42.8334228895072,0.0804999636416459
12,12,12,NA,main,-18.7052153876159,0.0806631280125245
489,489,528,NA,main,-5.93608510354801,0.0806907804511697
520,520,561,NA,main,16.0857545230944,0.0808002002978817
288,288,311,NA,main,25.2005501931305,0.0809597691781267
622,622,1,572,interaction,28.2343504054019,0.080994260520762
331,331,357,NA,main,26.3878336673936,0.0810404137672065
1267,1267,191,287,interaction,29.8353934890361,0.0812021183276816
1528,1528,312,589,interaction,-14.2324969915529,0.0812891339750104
493,493,532,NA,main,1.86885988992471,0.0813034742197897
482,482,520,NA,main,-23.6830274982192,0.0814691471121782
1149,1149,147,377,interaction,-22.6047794808876,0.081512856575066
693,693,20,132,interaction,-82.6251021517236,0.0815428453482049
1232,1232,174,232,interaction,165.212933525967,0.0817829377747447
47,47,48,NA,main,-27.7939127651678,0.0817833299715938
846,846,58,173,interaction,31.138897292567,0.081823231889976
1592,1592,352,468,interaction,-40.8387329671621,0.0819870588101241
383,383,414,NA,main,8.81501930284138,0.0820862552667448
150,150,159,NA,main,16.8516104894986,0.082238454724982
726,726,30,599,interaction,22.2343916634982,0.0824381483000602
899,899,74,481,interaction,35.2102824854734,0.0824767910566984
647,647,8,368,interaction,28.0651744427088,0.0825798204938578
273,273,295,NA,main,-17.1729863275687,0.0825802066829496
165,165,174,NA,main,-56.5286728781933,0.0825868555822971
763,763,39,539,interaction,64.673351330978,0.0826023835134879
1437,1437,265,291,interaction,10.4697136007549,0.0831586444580204
1040,1040,118,517,interaction,38.201353314862,0.0832961207743288
330,330,356,NA,main,21.9938513307785,0.0833107119980944
1651,1651,390,393,interaction,70.2651693719964,0.0833419868103387
167,167,176,NA,main,34.19132940089,0.0836268112080156
